station,model,date,forecast,lower95,upper95,sarima_forecast,sarima_lower95,sarima_upper95
Barisal,SARIMA,2026-02-01,29.375304698991158,27.64400830681456,30.693198419676836,29.375304698991158,27.824248883252253,30.926360514730064
Barisal,SARIMA,2026-03-01,33.08516475459526,31.353868362418662,34.40305847528094,33.08516475459526,31.534073723778405,34.63625578541212
Barisal,SARIMA,2026-04-01,34.4199641508985,32.688667758721905,35.73785787158418,34.4199641508985,32.8688638679529,35.9710644338441
Barisal,SARIMA,2026-05-01,34.28706919403042,32.55577280185382,35.6049629147161,34.28706919403042,32.73596648030841,35.83817190775243
Barisal,SARIMA,2026-06-01,33.0399929088383,31.3086965166617,34.357886629523975,33.0399929088383,31.488889556789633,34.59109626088697
Barisal,SARIMA,2026-07-01,32.19319085553361,30.46189446335701,33.51108457621929,32.19319085553361,30.642087337014964,33.74429437405225
Barisal,SARIMA,2026-08-01,32.30082124764365,30.569524855467048,33.61871496832933,32.30082124764365,30.749717690113116,33.85192480517418
Barisal,SARIMA,2026-09-01,32.67340596351602,30.94210957133942,33.99129968420169,32.67340596351602,31.12230241372264,34.22450951330939
Barisal,SARIMA,2026-10-01,32.480721641832034,30.749425249655435,33.79861536251771,32.480721641832034,30.92961816253175,34.03182512113232
Barisal,SARIMA,2026-11-01,30.571058019635508,28.83976162745891,31.888951740321186,30.571058019635508,29.0199548194228,32.122161219848216
Barisal,SARIMA,2026-12-01,27.166217763462477,25.434921371285878,28.484111484148155,27.166217763462477,25.61511562831827,28.717319898606682
Bogra,SARIMA+XGB,2024-01-01,24.064658481724692,21.764523320169282,26.247866194936584,24.258831817753745,22.17813379388575,26.33952984162174
Bogra,SARIMA+XGB,2024-02-01,28.27286941949879,25.97273425794338,30.456077132710682,27.96427704040562,25.825905788641265,30.102648292169974
Bogra,SARIMA+XGB,2024-03-01,31.90565149839275,29.60551633683734,34.08885921160464,31.81112251038902,29.66955585108586,33.95268916969218
