station,model_a,model_b,DM,p
Cox's Bazar,LSTM,SARIMA,1.6215051250137067,0.10711220351595616
Cox's Bazar,LSTM,SVR,1.7007583121825998,0.09116201130007723
Cox's Bazar,LSTM,XGB,0.5924526097835309,0.5544832048770446
Cox's Bazar,LSTM,SARIMA+ANN,1.9407667750568582,0.05425369468491358
Cox's Bazar,LSTM,SARIMA+SVR,1.5408714051875578,0.12555805376715448
Cox's Bazar,LSTM,SARIMA+XGB,1.6221837987261944,0.10696669315790615
Cox's Bazar,LSTM,SARIMA+LSTM,1.8980491287231718,0.059704800553934866
Cox's Bazar,SARIMA+ANN,SNAIVE,-3.617020561284274,0.0004123979394690724
Cox's Bazar,SARIMA+ANN,SVR,0.021241299012509644,0.9830827799532473
Cox's Bazar,SARIMA+ANN,XGB,-1.3890647493119668,0.16697245033805336
Cox's Bazar,SARIMA+ANN,SARIMA+SVR,-1.0007446492317766,0.3186406726041308
Cox's Bazar,SARIMA+ANN,SARIMA+XGB,-0.8085251312331161,0.42013141630684747
Cox's Bazar,SARIMA+ANN,SARIMA+LSTM,0.34547734667431707,0.7302432215850704
Cox's Bazar,SARIMA+SVR,SNAIVE,-3.9128582890000745,0.00014055582940124533
Cox's Bazar,SARIMA+SVR,SVR,0.955640598292094,0.3408665797997792
Cox's Bazar,SARIMA+SVR,XGB,-1.0195774688555193,0.30965073559106493
Cox's Bazar,SARIMA+SVR,SARIMA+XGB,1.6426821074825106,0.10264587821494092
Cox's Bazar,SARIMA+XGB,SNAIVE,-4.077247324330061,7.53235286187771e-05
Cox's Bazar,SARIMA+XGB,SVR,0.7049860742357775,0.4819655856898298
Cox's Bazar,SARIMA+XGB,XGB,-1.0855525102697725,0.27950364066863326
Cox's Bazar,SARIMA+LSTM,SNAIVE,-3.9044210254970104,0.00014505796408924716
Cox's Bazar,SARIMA+LSTM,SVR,-0.194904112845284,0.8457446542503227
Cox's Bazar,SARIMA+LSTM,XGB,-1.5183776185239668,0.13112699516910378
Cox's Bazar,SARIMA+LSTM,SARIMA+SVR,-2.1125754308978153,0.036374795023732004
Cox's Bazar,SARIMA+LSTM,SARIMA+XGB,-1.7649635957498762,0.07970459308095351
Dhaka,SNAIVE,SVR,1.941635739376028,0.05414731406462221
Dhaka,SNAIVE,XGB,0.9200612773569499,0.3590901923462097
Dhaka,SARIMA,SNAIVE,-2.7653813833025813,0.006436055911769363
Dhaka,SARIMA,SVR,-2.8924407288403122,0.0044207129972976544
Dhaka,SARIMA,XGB,-3.0191831338904014,0.0030023549347354714
Dhaka,SARIMA,SARIMA+ANN,-1.9551512658584667,0.0525152283117293
Dhaka,SARIMA,SARIMA+SVR,1.4003444582634377,0.1635762048768506
Dhaka,SARIMA,SARIMA+XGB,0.9166640226282986,0.36086205520556325
Dhaka,SARIMA,SARIMA+LSTM,-0.5911059042448488,0.5553826397393042
Dhaka,ANN,SNAIVE,-1.7488698028298675,0.0824592190051094
Dhaka,ANN,SARIMA,2.4787316966134068,0.01434764469599548
Dhaka,ANN,SVR,0.9021046984017236,0.3685181993718107
Dhaka,ANN,XGB,-0.3205361708108942,0.7490298340827596
Dhaka,ANN,LSTM,-1.3599566712865683,0.17598385656639823
Dhaka,ANN,SARIMA+ANN,0.678860359732361,0.49832356162274305
Dhaka,ANN,SARIMA+SVR,3.5238600292172344,0.0005715339496714351
Dhaka,ANN,SARIMA+XGB,2.490392055297581,0.013904655358320462
Dhaka,ANN,SARIMA+LSTM,2.5656041005957566,0.011329115913063742
Dhaka,SVR,XGB,-2.1271252982090725,0.03512584900052928
Dhaka,LSTM,SNAIVE,0.22639616170005883,0.8212166041249429
Dhaka,LSTM,SARIMA,2.9648100247353275,0.003549715734088931
Dhaka,LSTM,SVR,2.0650104518186074,0.04072806039196155
Dhaka,LSTM,XGB,1.3691548565422167,0.17309747344483117
Dhaka,LSTM,SARIMA+ANN,2.05158866409049,0.04203441335118854
Dhaka,LSTM,SARIMA+SVR,2.9115581585708354,0.004173355083327293
Dhaka,LSTM,SARIMA+XGB,3.0797065195254985,0.002485244292146364
Dhaka,LSTM,SARIMA+LSTM,2.4622889068753526,0.014993695575438488
Dhaka,SARIMA+ANN,SNAIVE,-1.7455968596009297,0.08302885481269467
Dhaka,SARIMA+ANN,SVR,0.3074051239209051,0.7589822662909519
Dhaka,SARIMA+ANN,XGB,-1.7592324846860912,0.08067674055711747
Dhaka,SARIMA+ANN,SARIMA+SVR,1.908408837997055,0.05834232037809874
Dhaka,SARIMA+ANN,SARIMA+XGB,2.1587593236160987,0.03253747561494439
Dhaka,SARIMA+ANN,SARIMA+LSTM,1.5215482418698822,0.13033050141445765
Dhaka,SARIMA+SVR,SNAIVE,-3.629985499857497,0.00039389652503553124
Dhaka,SARIMA+SVR,SVR,-2.5033857572076177,0.013425420801945647
Dhaka,SARIMA+SVR,XGB,-2.593567784217735,0.010486499598784975
Dhaka,SARIMA+SVR,SARIMA+XGB,-1.0896527493786372,0.2776989667454835
Dhaka,SARIMA+XGB,SNAIVE,-2.7508578816067897,0.006713114915372332
Dhaka,SARIMA+XGB,SVR,-3.1638605418014003,0.0019021738961574474
Dhaka,SARIMA+XGB,XGB,-3.212384747368123,0.0016265138647398704
Dhaka,SARIMA+LSTM,SNAIVE,-3.0976920249160758,0.0023482505585112777
Dhaka,SARIMA+LSTM,SVR,-2.2156484422228035,0.028296432444224282
Dhaka,SARIMA+LSTM,XGB,-2.3997211150602684,0.017695049816931003
Dhaka,SARIMA+LSTM,SARIMA+SVR,2.3255879448278334,0.021446723458885212
Dhaka,SARIMA+LSTM,SARIMA+XGB,0.6925365762837276,0.4897235135944943
Faridpur,SNAIVE,SVR,2.8129839526069715,0.005599282483015392
Faridpur,SNAIVE,XGB,0.011731470926368661,0.990656206134274
Faridpur,SARIMA,SNAIVE,-3.7521195963485607,0.00025415093961069586
Faridpur,SARIMA,SVR,-2.5590849806955336,0.011534082384413512
Faridpur,SARIMA,XGB,-4.654390810834418,7.342807756286749e-06
Faridpur,SARIMA,SARIMA+ANN,-3.252744329569368,0.0014260387451339662
Faridpur,SARIMA,SARIMA+SVR,0.41534214798686225,0.6785139884414793
Faridpur,SARIMA,SARIMA+XGB,-0.301533165286512,0.7634460090993559
Faridpur,SARIMA,SARIMA+LSTM,-1.0539536156189395,0.29368169536097677
Faridpur,ANN,SNAIVE,-0.7028843909858938,0.4832704971077663
Faridpur,ANN,SARIMA,2.695989234981044,0.00786030950319416
Faridpur,ANN,SVR,0.7443614860571488,0.45787927006792484
Faridpur,ANN,XGB,-0.7988896208164639,0.425679293553598
Faridpur,ANN,LSTM,-2.671690632020301,0.00842285707356353
Faridpur,ANN,SARIMA+ANN,1.5538815162216604,0.12242308331071688
Faridpur,ANN,SARIMA+SVR,2.4286994031496274,0.016394470871724676
Faridpur,ANN,SARIMA+XGB,2.4403028687703676,0.01589795895255677
Faridpur,ANN,SARIMA+LSTM,2.4620796433890115,0.015002081969951037
Faridpur,SVR,XGB,-4.365755672914773,2.4148228107504812e-05
Faridpur,LSTM,SNAIVE,2.8650034863579608,0.004799227248906269
Faridpur,LSTM,SARIMA,4.571831553362812,1.0375486831829769e-05
Faridpur,LSTM,SVR,3.416258783453672,0.0008267961391736053
Faridpur,LSTM,XGB,2.0756301455738106,0.03971922502981658
Faridpur,LSTM,SARIMA+ANN,3.9529540276473103,0.00012091862880157877
