date,station,origin,actual,SNAIVE,SARIMA,SVR,SARIMA+SVR,XGB,SARIMA+XGB,ANN,SARIMA+ANN
2016-02-01,Dhaka,2014,29.8,28.42,28.591962908188815,28.388608515389418,28.574995942649654,28.625261,28.576507532763298,28.00132634299354,28.636232707031276
2016-03-01,Dhaka,2014,33.11,32.11,33.14153765009305,33.23718557216058,33.087429308602914,33.428684,33.19591973589322,32.855699742013826,33.195326823612184
2016-04-01,Dhaka,2014,35.14,32.82,34.54641100724228,34.83377810786729,34.56109079454048,34.479156,34.54578274820931,34.49236002469629,34.54441834757595
2016-05-01,Dhaka,2014,33.68,34.07,34.28511598763677,34.00201536384531,34.29222453087542,33.923515,34.30847565328392,33.95161820859314,34.39855871182596
2016-06-01,Dhaka,2014,33.93,32.75,33.01120290591426,32.72551106945397,33.17332976258403,33.028206,33.0033932417915,33.1878607704781,33.04152363479934
2016-07-01,Dhaka,2014,32.23,31.73,32.591428998984235,32.48609239563447,32.85340571339997,32.139084,32.58658303333058,32.57313804025852,32.8237190665112
2016-08-01,Dhaka,2014,33.28,32.62,32.45140882428693,32.34070584824272,32.46080784207837,32.545467,32.481450191102496,32.50273254324477,32.163093303626155
2016-09-01,Dhaka,2014,32.87,32.86,32.854459970393144,32.63035988076354,32.9328968078999,32.282955,32.82934401849743,33.092563673206016,32.78327081298956
2016-10-01,Dhaka,2014,33.07,32.39,32.29767688797358,32.204908597324504,32.389397925852776,32.34871,32.31666791872624,32.485660912956284,32.23117845780371
2016-11-01,Dhaka,2014,29.6,30.23,30.32017854798685,30.477592987186508,30.486783525908564,30.63275,30.331042416506513,29.89518102376473,30.381945814298366
2016-12-01,Dhaka,2014,27.76,25.94,26.102897509939762,26.18041912033257,26.136233124314188,27.400875,26.170538365848156,26.15450738580557,25.9269238015806
2017-01-01,Dhaka,2014,26.37,24.87,25.32409306606368,25.870899348614607,25.435879831657285,26.253647,25.334956934583342,24.994130089318176,25.332851451216435
2017-02-01,Dhaka,2014,29.57,29.8,29.377840470968007,29.669429848238813,29.43054130997784,29.454355,29.43216628998351,29.263415899786903,29.651799244370004
2017-03-01,Dhaka,2014,30.48,33.11,33.26997147512657,33.65512509697377,33.263252749246504,33.53119,33.280216565477076,32.61144188251344,33.464191545347006
2017-04-01,Dhaka,2014,32.79,35.14,33.77087505342,33.532627394662775,33.78356793258659,33.37149,33.83851590932839,33.64234871198805,33.63592994862626
2017-05-01,Dhaka,2014,34.5,33.68,33.207985302372485,34.07698744015604,33.396030532872395,33.120373,33.24001470388344,33.838817601973076,33.42188283815517
2017-06-01,Dhaka,2014,33.04,33.93,33.06911352656386,33.1050211577675,33.25757402847391,33.231422,33.123439345579364,33.46344735722444,34.117710603855954
2017-07-01,Dhaka,2014,31.98,32.23,32.261442697857994,32.44025171855303,32.12938681803716,32.52135,32.35096777907528,32.060812082591006,32.24745291950348
2017-08-01,Dhaka,2014,32.59,33.28,32.36117882590383,32.00068315567635,32.42058902348904,32.429344,32.419722355265314,31.957590960296066,32.143812252719286
2017-09-01,Dhaka,2014,33.08,32.87,32.58347676707317,32.28715031112695,32.732938584981866,32.273277,32.62214795885493,31.88833623357325,33.25472354224081
2017-10-01,Dhaka,2014,31.99,33.07,32.36274855552054,32.15094021605722,32.557333447522566,32.269382,32.41476350990868,31.552582180268892,32.88259655899252
