date,station,origin,actual,SNAIVE,SARIMA,LSTM,SARIMA+LSTM
2012-05-01,Srimongal,2011,33.4,32.16,32.37621934235697,32.29881355524063,32.65187999087211
2012-06-01,Srimongal,2011,31.67,32.33,32.37533019810729,32.3630177116394,32.67290046060418
2012-07-01,Srimongal,2011,32.73,32.5,32.38254890597201,32.289089832305905,32.66176223180843
2012-08-01,Srimongal,2011,33.13,32.43,32.833057864828376,32.49953028917312,33.105566805671366
2012-09-01,Srimongal,2011,32.75,33.25,32.590662677912675,32.54337033987045,32.880125880227794
2012-10-01,Srimongal,2011,31.67,32.96,31.955736566962038,31.69788840770721,32.22176579995071
2012-11-01,Srimongal,2011,28.65,30.08,29.668416045049867,29.2924211359024,29.89633304103087
2012-12-01,Srimongal,2011,24.05,25.88,26.57975838260224,26.293996218442917,26.771842009700887
2013-01-01,Srimongal,2011,24.9,24.35,24.640315838587224,24.70474440217018,24.773569984417684
2013-02-01,Srimongal,2011,29.79,29.11,27.943178573274047,29.49237618207931,28.035752743364093
2013-03-01,Srimongal,2011,33.56,33.03,31.980552439450356,32.415946099758145,32.043809835803856
2013-04-01,Srimongal,2011,33.73,32.2,33.27047661584452,32.834534201622006,33.35871533154439
2013-05-01,Srimongal,2011,31.31,33.4,32.72902944764024,32.40863141775131,32.92114660864024
2013-06-01,Srimongal,2011,33.65,31.67,32.1822025403183,32.10791430234909,32.34939203621411
2013-07-01,Srimongal,2011,33.5,32.73,32.63452380251644,32.610108289718625,32.87599184803722
2013-08-01,Srimongal,2011,32.6,33.13,33.12823179520845,32.863001022338864,33.41681688836366
2013-09-01,Srimongal,2011,32.95,32.75,32.69015605942527,32.3596276974678,32.996105006704944
2013-10-01,Srimongal,2011,31.73,31.67,32.034862426858226,31.103795204162594,32.359118489002064
2013-11-01,Srimongal,2011,30.38,28.65,29.68809212864279,28.6032161450386,30.025114067978834
2013-12-01,Srimongal,2011,26.51,24.05,26.78772019373164,26.746269438266754,27.172184938601045
2014-01-01,Srimongal,2011,25.68,24.9,25.282307479045567,25.838189247846604,25.73912784382478
2014-02-01,Srimongal,2011,27.15,29.79,28.569781660649898,29.194129709005352,29.003139791814373
2014-03-01,Srimongal,2011,32.28,33.56,31.959463051079855,31.46996090173721,32.27526330046778
2014-04-01,Srimongal,2011,35.1,33.73,33.01722709467333,32.90221438169479,33.250706406778576
2014-05-01,Srimongal,2011,33.47,31.31,32.7124684191797,32.767890784740445,32.97245532219895
2014-06-01,Srimongal,2011,33.1,33.65,32.656759121112636,32.63017019987106,33.01691945238742
2014-07-01,Srimongal,2011,34.02,33.5,32.842692966205156,32.8325280880928,33.19898683865308
2014-08-01,Srimongal,2011,32.55,32.6,33.29472803283967,33.121778819561,33.68990350580362
2014-09-01,Srimongal,2011,32.76,32.95,32.8202333348997,32.7022585606575,33.257521639303626
2014-10-01,Srimongal,2011,32.18,31.73,32.0639278934093,31.578745100498196,32.49719979454171
2014-11-01,Srimongal,2011,30.73,30.38,29.829443280272077,29.591480824947354,30.26987754367935
2014-12-01,Srimongal,2011,26.45,26.51,26.90173847881481,27.45644602537155,27.3328934326599
2015-01-01,Srimongal,2014,26.22,25.68,25.376744709515652,25.23355174422264,25.600047063937577
2015-02-01,Srimongal,2014,28.57,27.15,28.687184653312872,28.26966974496841,28.905798529928017
2015-03-01,Srimongal,2014,31.95,32.28,32.33466268778435,31.621126863956448,32.586666096945784
2015-04-01,Srimongal,2014,31.64,35.1,33.304538550355545,32.9826061463356,33.52004274674933
2015-05-01,Srimongal,2014,32.96,33.47,32.301950475471116,32.28335509061813,32.38945946731457
2015-06-01,Srimongal,2014,32.72,33.1,32.32052078401705,32.323122475147244,32.355055966012586
2015-07-01,Srimongal,2014,32.35,34.02,32.631587800747226,32.49666950464248,32.644840120482
2015-08-01,Srimongal,2014,32.72,32.55,32.801327272645516,32.629680488109585,32.77298558303426
2015-09-01,Srimongal,2014,33.18,32.76,32.58269031214212,32.7037803864479,32.569909481524526
2015-10-01,Srimongal,2014,32.44,32.18,31.992943904679464,32.163061115741726,31.99455912063363
2015-11-01,Srimongal,2014,30.41,30.73,29.89715671000482,30.082332406044003,29.91927904518764
2015-12-01,Srimongal,2014,26.05,26.45,26.822212399986846,27.497527185678482,26.854555952193092
2016-01-01,Srimongal,2014,24.86,26.22,25.325208956492343,25.03006139755249,25.375652860014775
2016-02-01,Srimongal,2014,29.47,28.57,28.399040144034853,27.802132550477978,28.41445438629024
2016-03-01,Srimongal,2014,32.14,31.95,32.28518379568614,31.85822639226913,32.325769198352724
2016-04-01,Srimongal,2014,33.48,31.64,33.22797320512796,32.79659626245498,33.29061769223691
2016-05-01,Srimongal,2014,32.35,32.96,32.65264189543808,32.520168695449826,32.77060131682662
2016-06-01,Srimongal,2014,33.3,32.72,32.44464226768224,32.219918820858,32.53577554630449
2016-07-01,Srimongal,2014,32.8,32.35,32.778024611051,32.5684603190422,32.87473902298888
2016-08-01,Srimongal,2014,34.04,32.72,32.97583473610276,32.83741590738296,33.0918622267282
2016-09-01,Srimongal,2014,33.3,33.18,32.94791703314714,33.19811031579971,33.09948256265363
2016-10-01,Srimongal,2014,32.81,32.44,32.25034414877923,32.37457630395889,32.41683758079672
2016-11-01,Srimongal,2014,29.46,30.41,30.136199785378952,29.99191394805908,30.32592957214757
2016-12-01,Srimongal,2014,28.59,26.05,26.759920009270797,27.05863231778145,26.938386428864764
2017-01-01,Srimongal,2014,27.14,24.86,25.705168482789286,26.041969392299652,25.949205552449897
2017-02-01,Srimongal,2014,29.95,29.47,29.09091992815126,28.516147021055218,29.409729234776975
2017-03-01,Srimongal,2014,29.65,32.14,32.7582766741882,31.730567369461056,33.107909188665964
2017-04-01,Srimongal,2014,31.04,33.48,33.14235795163086,31.939443383216854,33.4435374317443
2017-05-01,Srimongal,2014,33.27,32.35,32.1770147744602,32.19311640024185,32.35649363693671
2017-06-01,Srimongal,2014,32.06,33.3,32.35552382092342,32.53534356117248,32.47810703493694
2017-07-01,Srimongal,2014,32.47,32.8,32.49310807163574,32.29871127367019,32.534345596764766
2017-08-01,Srimongal,2014,32.86,34.04,32.80323859848191,32.65661231040954,32.80363821216773
2017-09-01,Srimongal,2014,32.94,33.3,32.63105480219632,32.84595951795578,32.578600872557416
2017-10-01,Srimongal,2014,31.68,32.81,32.012907228677,32.321543309688565,31.950168834281357
2017-11-01,Srimongal,2014,30.13,29.46,29.746991469199823,29.90061912298202,29.666027665469848
2017-12-01,Srimongal,2014,26.82,28.59,26.75205464131431,27.974550608396527,26.703072628914846
2018-01-01,Srimongal,2017,23.79,27.14,25.44800364417672,26.16196349620819,25.3246510112965
2018-02-01,Srimongal,2017,28.79,29.95,28.361605564785073,27.720948103666306,28.182006677309378
2018-03-01,Srimongal,2017,32.28,29.65,31.93544994673788,31.383316013813015,31.73836238299733
2018-04-01,Srimongal,2017,31.77,31.04,33.058203673227396,32.86065009593963,32.9541836120805
2018-05-01,Srimongal,2017,31.69,33.27,32.37849262901615,32.157851729393,32.29539165799523
2018-06-01,Srimongal,2017,33.04,32.06,32.18126285638121,31.902467045783993,32.02757238087137
2018-07-01,Srimongal,2017,33.67,32.47,32.55853966717502,32.236014220714566,32.409783772858326
2018-08-01,Srimongal,2017,33.82,32.86,33.05628902357422,32.71518090724945,32.94274601062247
2018-09-01,Srimongal,2017,33.49,32.94,32.95770229684668,32.94417384624481,32.895775872303105
2018-10-01,Srimongal,2017,31.28,31.68,32.28849530308547,32.30070188999176,32.2762128829437
2018-11-01,Srimongal,2017,29.79,30.13,29.88611422015847,29.741806838512417,29.897594042504345
2018-12-01,Srimongal,2017,26.52,26.82,26.79334632172947,26.924573723077774,26.79963538625917
2019-01-01,Srimongal,2017,27.1,23.79,25.328468090091647,24.87207743883133,25.32740942325195
2019-02-01,Srimongal,2017,28.31,28.79,28.900274770374864,29.082377020120617,28.97703521484004
2019-03-01,Srimongal,2017,30.96,32.28,32.20053083246249,31.573597702980038,32.273595803092945
