station,model_a,model_b,DM,p
Cox's Bazar,SARIMA+ANN,SARIMA+LSTM,-0.2567161487911094,0.7977668837535957
Cox's Bazar,SARIMA+SVR,SNAIVE,-4.275024108357894,3.473428225263719e-05
Cox's Bazar,SARIMA+SVR,SVR,-0.40104717964213005,0.6889840061021982
Cox's Bazar,SARIMA+SVR,XGB,-2.9623091388822154,0.0035769721944759036
Cox's Bazar,SARIMA+SVR,SARIMA+XGB,0.7951309640415865,0.4278550934348209
Cox's Bazar,SARIMA+XGB,SNAIVE,-4.411358672488667,2.0076327123726123e-05
Cox's Bazar,SARIMA+XGB,SVR,-0.6344862360486748,0.526777304985156
Cox's Bazar,SARIMA+XGB,XGB,-3.240574034787622,0.001483926485680849
Cox's Bazar,SARIMA+LSTM,SNAIVE,-4.3632463488947115,2.439393739202356e-05
Cox's Bazar,SARIMA+LSTM,SVR,-0.5894984173570448,0.5564571866281872
Cox's Bazar,SARIMA+LSTM,XGB,-3.2597087739466617,0.001393865942822266
Cox's Bazar,SARIMA+LSTM,SARIMA+SVR,-0.24075746031502865,0.810087934291253
Cox's Bazar,SARIMA+LSTM,SARIMA+XGB,0.1677578697069549,0.8670107842937144
Dhaka,SNAIVE,SVR,2.7402632404596057,0.006922011075734423
Dhaka,SNAIVE,XGB,2.017935466025382,0.04546837560761605
Dhaka,SARIMA,SNAIVE,-4.308765517765491,3.0360795124538287e-05
Dhaka,SARIMA,SVR,-2.910185188483242,0.004190687717854102
Dhaka,SARIMA,XGB,-3.4128176721762298,0.0008365023018352795
Dhaka,SARIMA,SARIMA+ANN,-1.1870104375362274,0.23719164801301307
Dhaka,SARIMA,SARIMA+SVR,0.8673254604974103,0.3872167892925094
Dhaka,SARIMA,SARIMA+XGB,0.8539593149766351,0.3945557969313491
Dhaka,SARIMA,SARIMA+LSTM,-0.39604909855018977,0.692659113212302
Dhaka,ANN,SNAIVE,-3.1745885438001795,0.0018377361677550906
Dhaka,ANN,SARIMA,1.3965754544878095,0.16470512447321253
Dhaka,ANN,SVR,-0.8354254232491869,0.4048718723956521
Dhaka,ANN,XGB,-1.7073635435513375,0.08992474113243004
Dhaka,ANN,LSTM,-2.4334565602319973,0.016189270903897116
Dhaka,ANN,SARIMA+ANN,0.7059804126007065,0.4813488876576089
Dhaka,ANN,SARIMA+SVR,1.686834970545496,0.09381539715247325
Dhaka,ANN,SARIMA+XGB,1.5486188376320678,0.12368367482865468
Dhaka,ANN,SARIMA+LSTM,1.23189748067333,0.2200092240296792
Dhaka,SVR,XGB,-1.4632317132386246,0.14559854335271227
Dhaka,LSTM,SNAIVE,-2.0745075913993225,0.039824841192104755
Dhaka,LSTM,SARIMA,3.49554183530086,0.0006303660558665776
Dhaka,LSTM,SVR,1.5726679103600203,0.11800568234587958
Dhaka,LSTM,XGB,0.23201541834881725,0.8168577375510083
Dhaka,LSTM,SARIMA+ANN,2.621571884577169,0.009699554735097093
Dhaka,LSTM,SARIMA+SVR,3.6929777546215528,0.0003146302420224909
Dhaka,LSTM,SARIMA+XGB,3.6741352266967997,0.00033660123718487733
Dhaka,LSTM,SARIMA+LSTM,3.250742680821175,0.0014354127096169146
Dhaka,SARIMA+ANN,SNAIVE,-3.5918512880918305,0.000450680865927157
Dhaka,SARIMA+ANN,SVR,-1.6651874257057953,0.09806476736692384
Dhaka,SARIMA+ANN,XGB,-2.326663140431679,0.02138765794518658
Dhaka,SARIMA+ANN,SARIMA+SVR,1.8110946126759493,0.07222509891048264
Dhaka,SARIMA+ANN,SARIMA+XGB,1.4173973477514046,0.15854194870260704
Dhaka,SARIMA+ANN,SARIMA+LSTM,0.9639448430405262,0.33670084542446693
Dhaka,SARIMA+SVR,SNAIVE,-4.397072145726044,2.1275047862050195e-05
Dhaka,SARIMA+SVR,SVR,-3.1852249568976942,0.0017758544653407565
Dhaka,SARIMA+SVR,XGB,-3.485073128815369,0.0006535219377413438
Dhaka,SARIMA+SVR,SARIMA+XGB,-0.35229548991555026,0.7251353362611824
Dhaka,SARIMA+XGB,SNAIVE,-4.396987878810087,2.1282318521520405e-05
Dhaka,SARIMA+XGB,SVR,-3.1294986035800925,0.0021229533603022905
Dhaka,SARIMA+XGB,XGB,-3.5125608513613593,0.0005943604049660112
Dhaka,SARIMA+LSTM,SNAIVE,-4.13550324556331,6.012532860110022e-05
Dhaka,SARIMA+LSTM,SVR,-2.5222606843879705,0.012755542283754426
Dhaka,SARIMA+LSTM,XGB,-3.056316256588179,0.0026744627800901278
Dhaka,SARIMA+LSTM,SARIMA+SVR,1.0504908338866203,0.29526453842922745
Dhaka,SARIMA+LSTM,SARIMA+XGB,0.770952815423642,0.4420068572712133
Faridpur,SNAIVE,SVR,2.896863570880793,0.004362321241690957
Faridpur,SNAIVE,XGB,1.6519242494852313,0.10074417487240368
Faridpur,SARIMA,SNAIVE,-4.006853167470466,9.860530002348278e-05
Faridpur,SARIMA,SVR,-2.4179997851021713,0.016864456701940436
Faridpur,SARIMA,XGB,-4.0192777883146835,9.404999027828443e-05
Faridpur,SARIMA,SARIMA+ANN,-1.1736856637264423,0.24247204575352682
Faridpur,SARIMA,SARIMA+SVR,-0.21051702354803384,0.8335638376675676
Faridpur,SARIMA,SARIMA+XGB,-0.9331083033295728,0.35233689699318277
Faridpur,SARIMA,SARIMA+LSTM,-0.9273065630198537,0.3553298561005301
Faridpur,ANN,SNAIVE,-2.4175657498972103,0.016883771624083603
Faridpur,ANN,SARIMA,2.5482342619799665,0.011882620294701466
Faridpur,ANN,SVR,0.6565105463922059,0.5125507588828783
Faridpur,ANN,XGB,-1.1433762648578234,0.25479290507007724
Faridpur,ANN,LSTM,-3.2631875757110325,0.001378049852114162
Faridpur,ANN,SARIMA+ANN,1.869369142753881,0.06361647031009239
Faridpur,ANN,SARIMA+SVR,2.5068828253774087,0.013298986539166304
Faridpur,ANN,SARIMA+XGB,2.32627227920277,0.02140911319658146
Faridpur,ANN,SARIMA+LSTM,2.164883335860968,0.032055932598649244
Faridpur,SVR,XGB,-2.268995429682957,0.024765224135697646
Faridpur,LSTM,SNAIVE,0.20466910356879184,0.8381216840382759
Faridpur,LSTM,SARIMA,4.514116464183895,1.3179701369978932e-05
Faridpur,LSTM,SVR,3.6863951018813794,0.0003221469163147625
Faridpur,LSTM,XGB,1.9448758604933651,0.05375220042334159
Faridpur,LSTM,SARIMA+ANN,3.920795606121172,0.00013644211683987983
Faridpur,LSTM,SARIMA+SVR,4.447672276989479,1.731476886787624e-05
Faridpur,LSTM,SARIMA+XGB,4.424373302224965,1.904110157832163e-05
Faridpur,LSTM,SARIMA+LSTM,4.227703985441726,4.189782359716457e-05
Faridpur,SARIMA+ANN,SNAIVE,-3.5028306642698857,0.0006147016477690662
Faridpur,SARIMA+ANN,SVR,-1.4622515151877666,0.14586652199560887
Faridpur,SARIMA+ANN,XGB,-3.035402334891322,0.0028548253609459178
Faridpur,SARIMA+ANN,SARIMA+SVR,1.1390381535869747,0.25659173618363046
Faridpur,SARIMA+ANN,SARIMA+XGB,0.654913150755738,0.5135757432486572
Faridpur,SARIMA+ANN,SARIMA+LSTM,0.6395221605326152,0.5235064864747698
