station,origin,model,MAE,RMSE,MAPE,MASE,R2,ACF1
Rajshahi,2011,LSTM,1.3438861633506092,1.5977260215796876,4.395939559107434,1.2350536573090978,0.8702098603502043,0.5203676887016375
Rajshahi,2011,SARIMA+LSTM,0.9304437947236737,1.1816229644121528,2.9926485083161385,0.8550932682638426,0.9290103674363448,0.36328421454574045
Rajshahi,2014,LSTM,1.4527504880064077,1.7613147843451962,4.534580985513335,1.332337814494094,0.7664508055129203,0.33871586981761376
Rajshahi,2014,SARIMA+LSTM,0.7367213742119054,0.9204738933141192,2.3249361647502074,0.6756574881317446,0.9362137069843977,0.2296831944905992
Rajshahi,2017,LSTM,1.2610259959929526,1.4390175870462865,4.115858756877636,1.1696221879701036,0.8630099352755097,0.4434115527543704
Rajshahi,2017,SARIMA+LSTM,0.9544760790036446,1.1122525007864137,3.076081751311158,0.885292137859787,0.9181603715186902,0.41066689353897307
Rajshahi,2020,LSTM,1.458548481100136,1.9236955175458463,4.47287804425461,1.3561760268510334,0.7769741262434958,0.433750456736763
Rajshahi,2020,SARIMA+LSTM,0.9881591203916619,1.2216792475244458,3.0324955679413734,0.9188023073313056,0.9100508680142186,0.028843861407599643
Rangamati,2011,LSTM,1.0807013533181618,1.3389200190390478,3.4734830817036384,1.0838045543927053,0.7550841019010124,0.3807156213128315
Rangamati,2011,SARIMA+LSTM,0.7521327194208309,0.9890004431233761,2.345721637528084,0.7542924456541142,0.8663710119748029,0.09670528945388719
Rangamati,2014,LSTM,0.7590755890475376,1.0606809299982198,2.527227283794128,0.763331464873519,0.7863017656089739,0.22618533721882883
Rangamati,2014,SARIMA+LSTM,0.7410428021985646,1.013993708349217,2.4680290634976694,0.7451975743891072,0.8047001395021043,0.1186144776502813
Rangamati,2017,LSTM,0.993192330731286,1.2030271436270144,3.318465669301842,0.9962548920661561,0.8086071437637934,0.49430607881656013
Rangamati,2017,SARIMA+LSTM,0.6880476177217356,0.8698762768739492,2.2903137374611395,0.69016924911717,0.8999332384559637,0.30227842734961946
Rangamati,2020,LSTM,1.36303054968516,1.6420489720330604,4.226831846976098,1.3619665133466077,0.6219427032862961,0.29892588878280224
Rangamati,2020,SARIMA+LSTM,0.9255122900686783,1.0743398992592084,2.8715085152376094,0.9247897980389602,0.8381663519317641,0.048100899123010576
Rangpur,2011,LSTM,0.7873391297169857,0.9479277367519671,2.687630264209532,0.7330787695120751,0.9326092569289949,0.06483807878456566
Rangpur,2011,SARIMA+LSTM,0.754301744000365,0.9964605614258438,2.58404579008604,0.7023181923288455,0.9255319447910467,0.1569020196418493
Rangpur,2014,LSTM,1.0493582617532877,1.2877256261843508,3.5479529395524985,0.9840479373405101,0.816590960054709,0.43709440576672604
Rangpur,2014,SARIMA+LSTM,0.9353361273111295,1.1500694694792688,3.176240307385117,0.8771223521533341,0.8537074500857711,0.31067482325251106
Rangpur,2017,LSTM,1.3338156717022254,1.6979840585346082,4.844293082623663,1.2491293295627925,0.7490196482137683,0.2583765494081912
