station,model,MAE,RMSE,MAPE,MASE,R2,ACF1,MAE_h1_12,MAE_h13_36,MAE_summer,MAE_top10
Bhola,SARIMA,0.7247574559702078,0.8852720790115576,2.3359120649996212,0.9153348699105603,0.8890925655736628,0.25110746138630435,0.6359600324738314,0.7691561677183961,0.7877739868778552,1.2828129263008534
Bhola,ANN,0.7978396903923836,0.9846587204497306,2.570403564816129,1.0076343240059247,0.8627922672515875,0.31680022304170075,0.6801787781732814,0.8566701465019347,0.8304587935039929,1.0934679904189821
Bhola,SVR,0.7866541342810324,0.9670940073012534,2.533500394720128,0.9935074882435317,0.8676437331350366,0.30968240746662773,0.6299277551608627,0.865017323841117,0.8128119489002096,1.3202352485685944
Bhola,XGB,0.8766319305555554,1.0704829943282481,2.785065603656487,1.1071452490824696,0.8378314363990431,0.3360341296085441,0.6935403541666663,0.9681777187500001,0.9227796874999997,1.5052261333333332
Bhola,LSTM,0.901104204724025,1.0749285621051763,2.8921682620186413,1.1380525901631144,0.8364817123797688,0.3687763212070223,0.8322999991880106,0.9355063074920323,0.9804670460894699,1.5163873855272922
Bhola,SARIMA+ANN,0.7876944493071163,0.9536331454672786,2.520716456388725,0.9948213576093761,0.8713025920836651,0.2463283570006798,0.6677565986232027,0.847663374649073,0.840148384236564,1.370370255480414
Bhola,SARIMA+SVR,0.7006947920934046,0.8601773983051606,2.263572404746226,0.884944847527292,0.8952912008258018,0.22877898944245603,0.6186602573268193,0.7417120594766972,0.7497490471866416,1.169007851448184
Bhola,SARIMA+XGB,0.7341945838275143,0.897624227229416,2.3629296958085395,0.9272535223210187,0.8859760040511961,0.24810601656093145,0.6471540718510855,0.7777148398157289,0.7975390180263323,1.3111814409684288
Bhola,SARIMA+LSTM,0.7196839593863884,0.8870722934162745,2.33225868140991,0.90892728031312,0.8886410429994428,0.3106262936388497,0.6098171770760198,0.7746173505415728,0.7951037334496039,1.1873751871951215
Bogra,SNAIVE,1.0896527777777776,1.394121338175252,3.6299646844880247,0.9635292672788419,0.8208548839704084,0.17812744268064054,1.004166666666667,1.132395833333333,1.28,1.6068749999999987
Bogra,SARIMA,0.7973925511265931,1.0399732913541246,2.647425297383464,0.7050971430435807,0.9003107805825767,0.22063256599501357,0.7119657818742926,0.8401059357527435,0.9667230945477178,1.3237341683851778
Bogra,ANN,0.8544344547622784,1.0951897265422168,2.828552388738028,0.7555366451814728,0.8894439417214945,0.1698579153764238,0.8655806118215493,0.848861376232643,0.9788127942866329,1.2685444209399233
Bogra,SVR,0.8204604003955407,1.0405361723794921,2.7107475005686896,0.7254949691741546,0.9002028386651926,0.15531202010549797,0.8075729258318444,0.8269041376773888,0.9789073724104261,1.2788231579252503
Bogra,XGB,0.9569208194444447,1.1740940681579544,3.148343855907429,0.8461605704190759,0.8729397775189508,0.22485287781993474,0.9284146041666675,0.9711739270833334,1.1138056458333334,1.4851326874999997
Bogra,LSTM,1.018612104271436,1.2720428840545035,3.403052970088103,0.9007113040831198,0.8508554701943581,0.2536694307496826,1.0227292176056666,1.0165535476043208,1.0306069498509174,1.292836124785247
Bogra,SARIMA+ANN,0.8505252601607007,1.1017104680059437,2.8042951112752346,0.752079926227578,0.8881235246442926,0.2198989646590507,0.7547718234602829,0.8984019785109097,1.0111606856781548,1.5252561068484
Bogra,SARIMA+SVR,0.7938992801060722,1.0434656684402626,2.639621847546242,0.7020082059661448,0.8996401154397625,0.22051179412827845,0.7005079785778262,0.8405949308701951,0.9900007052752583,1.2849222418352881
Bogra,SARIMA+XGB,0.7924093072932089,1.0334323714895446,2.6290574681919696,0.7006906923123262,0.9015608292816346,0.21539760881423992,0.7089299409752985,0.8341489904521641,0.961211871416784,1.3238110611709057
Bogra,SARIMA+LSTM,0.8372821026104358,1.080835350483164,2.779299162359553,0.740369617998118,0.8923230104967013,0.26609906809900724,0.7469476557767475,0.8824493260272801,0.989555923364132,1.4331014050490816
