station,model,MAE,RMSE,MAPE,MASE,R2,ACF1,MAE_h1_12,MAE_h13_36,MAE_summer,MAE_top10
Bogra,SARIMA,0.7895704612573531,1.0019907393240337,2.6200369885480095,0.6981804328089053,0.9074596284126293,-0.009114259986932827,0.701852974257088,0.8334292047574857,0.9229418497178027,1.207848945911321
Bogra,ANN,0.8657291982594997,1.1007052749902504,2.8906550016272847,0.7655240614923589,0.8883275821570629,0.03485522461676999,0.9085704580407034,0.8443085683688979,0.9329486382363911,1.1091117246218851
Bogra,SVR,0.816913068150356,1.040914452431558,2.7133789347628903,0.7223582282703522,0.9001302642780614,-0.011334869347613071,0.7946187000952758,0.8280602521778961,0.8954967004643967,1.2629531438566515
Bogra,XGB,0.8819602916666668,1.116258873314539,2.914431232649333,0.7798764624192269,0.8851492932461675,0.11141175558450171,0.923902958333334,0.8609889583333331,1.0305533541666665,1.3957216249999997
Bogra,LSTM,0.9303258959560973,1.16991113650335,3.09866084796814,0.8226439166146194,0.8738435168097359,0.07704886162425408,0.9481547686426598,0.9214114596128158,0.9640038027614352,1.303660120964051
Bogra,SARIMA+ANN,0.8255945758730725,1.0403339570368522,2.7265327404644277,0.7300348817378942,0.9002416235854912,-0.01920005698297719,0.7942668889581834,0.8412584193305168,0.9752989758695416,1.1309619615448443
Bogra,SARIMA+SVR,0.7778817944978462,1.0029027656064164,2.5882915005644875,0.687844688480127,0.9072910886079041,0.01902183320358611,0.6947463295173103,0.8194495269881141,0.933858442301574,1.1291690527816272
Bogra,SARIMA+XGB,0.7866635216350711,0.9961115258201587,2.610279639897161,0.695609961314313,0.9085424097649061,-0.011017847800141306,0.6953149662331463,0.8323377993360337,0.9190130613234461,1.207988255383027
Bogra,SARIMA+LSTM,0.7997613330046316,1.023724768393417,2.6544376086383497,0.7071917466768083,0.9034015305118179,-0.0026036031277033196,0.7491078638387321,0.8250880675875815,0.9294658881417884,1.1556650183311477
Chittagong,SNAIVE,0.809027777777778,0.9906465341157541,2.6750857920315134,0.9576714892755972,0.8179658209778733,0.17680487694376856,0.84375,0.791666666666667,0.812708333333334,0.8280000000000011
Chittagong,SARIMA,0.6243688532435647,0.7817811186899639,2.048536898035459,0.7390849436412088,0.886633211188121,-0.11458855625378998,0.6489361996206643,0.612085180055015,0.6006656187349155,0.9241342593682172
Chittagong,ANN,0.6771838328951181,0.8615508344760138,2.2203742163655376,0.8016036872594984,0.8623179558197809,-0.027785521334147356,0.7364787588580589,0.6475363699136477,0.7057670703300376,1.0678809189283263
Chittagong,SVR,0.7107545901211582,0.8696377884243,2.3329478555485474,0.8413424427779796,0.8597211178662121,0.09766361611286516,0.7685792816600658,0.6818422443517043,0.7575783488716001,1.0900221329967268
