station,model,date,forecast,lower95,upper95,sarima_forecast,sarima_lower95,sarima_upper95
Comilla,SARIMA+SVR,2027-11-01,30.47922534321111,28.099031383405325,32.21888901253419,30.417359252637045,28.698312791267618,32.13640571400647
Comilla,SARIMA+SVR,2027-12-01,26.900370604238923,24.52017664443314,28.640034273562,26.85342450180216,25.13437829365646,28.572470709947858
Comilla,SARIMA+SVR,2028-01-01,25.47750732682911,23.097313367023325,27.217170996152188,25.424523567864792,23.701171055928413,27.147876079801172
Comilla,SARIMA+SVR,2028-02-01,28.5227928033693,26.142598843563515,30.262456472692378,28.452468285876552,26.728825816469193,30.17611075528391
Comilla,SARIMA+SVR,2028-03-01,31.712898606669363,29.33270464686358,33.45256227599244,31.630049212978403,29.90631725397521,33.353781171981595
Comilla,SARIMA+SVR,2028-04-01,33.41734255147876,31.037148591672977,35.15700622080184,33.330977395255246,31.607217814986612,35.05473697552388
Comilla,SARIMA+SVR,2028-05-01,33.62186762156332,31.241673661757535,35.3615312908864,33.53592556331778,31.81215745750791,35.25969366912766
Comilla,SARIMA+SVR,2028-06-01,32.64110848816703,30.260914528361244,34.38077215749011,32.55115843694931,30.827387699819106,34.27492917407951
Comilla,SARIMA+SVR,2028-07-01,32.318439210092954,29.93824525028717,34.05810287941603,32.22085279038281,30.497081241705388,33.944624339060226
Comilla,SARIMA+SVR,2028-08-01,32.460359969312336,30.080166009506552,34.200023638635415,32.35607437241771,30.632302575337818,34.0798461694976
Comilla,SARIMA+SVR,2028-09-01,33.050242693255065,30.67004873344928,34.789906362578144,32.94838042130081,31.22460855432859,34.67215228827303
Comilla,SARIMA+SVR,2028-10-01,32.530554083880105,30.15036012407432,34.270217753203184,32.44597940234811,30.722207535770156,34.169751268926056
Comilla,SARIMA+SVR,2028-11-01,30.50001586195376,28.119821902147976,32.239679531276835,30.438906949633914,28.715135154347387,32.16267874492044
Comilla,SARIMA+SVR,2028-12-01,26.92293634045859,24.542742380652808,28.66260000978167,26.874972307928644,25.151200765220832,28.598743850636456
Cox's Bazar,SARIMA+LSTM,2026-01-01,27.706420925328757,25.78787782470283,29.009801897081115,27.766050120426478,26.4192209647411,29.112879276111855
Cox's Bazar,SARIMA+LSTM,2026-02-01,30.00683517801523,28.0882920773893,31.310216149767587,30.06404916781255,28.655937597874928,31.47216073775017
Cox's Bazar,SARIMA+LSTM,2026-03-01,32.50006281784684,30.58151971722091,33.8034437895992,32.56736106696989,31.152847772987762,33.98187436095201
Cox's Bazar,SARIMA+LSTM,2026-04-01,33.76151320978678,31.84297010916085,35.06489418153913,33.81686916381538,32.39605604893474,35.23768227869603
Cox's Bazar,SARIMA+LSTM,2026-05-01,33.7280476204316,31.809504519805675,35.03142859218396,33.772415623137924,32.345402423604405,35.19942882267144
Cox's Bazar,SARIMA+LSTM,2026-06-01,32.16743618182784,30.24889308120191,33.4708171535802,32.2059796323375,30.77286398547573,33.639095279199275
Cox's Bazar,SARIMA+LSTM,2026-07-01,31.440301250216155,29.521758149590227,32.74368222196851,31.461548057351674,30.022425566536004,32.90067054816734
Cox's Bazar,SARIMA+LSTM,2026-08-01,31.62231265565534,29.70376955502941,32.925693627407696,31.631055978182538,30.186020274972485,33.07609168139259
Cox's Bazar,SARIMA+LSTM,2026-09-01,32.37654993727039,30.45800683664446,33.679930909022744,32.39199644610181,30.94113924970353,33.84285364250009
Cox's Bazar,SARIMA+LSTM,2026-10-01,32.77395988723569,30.855416786609762,34.07734085898805,32.796074474526854,31.339485648730616,34.25266330032309
Cox's Bazar,SARIMA+LSTM,2026-11-01,31.561624414204932,29.643081313579003,32.86500538595729,31.592176006119328,30.129943613852998,33.054408398385654
Cox's Bazar,SARIMA+LSTM,2026-12-01,28.8982224175885,26.97967931696257,30.201603389340857,28.921472247850424,27.453684480944215,30.389260014756633
Cox's Bazar,SARIMA+LSTM,2027-01-01,27.87995836226447,25.961415261638543,29.18333933401683,27.896590497843444,26.425859097921023,29.367321897765866
