date,station,origin,actual,LSTM,SARIMA+LSTM
2018-06-01,Rajshahi,2017,35.67,34.79287821531295,34.855519271791614
2018-07-01,Rajshahi,2017,33.93,33.57425845623016,33.30843247269225
2018-08-01,Rajshahi,2017,34.65,33.240696361064906,33.63909156511406
2018-09-01,Rajshahi,2017,34.32,32.88325336456299,33.576230748263846
2018-10-01,Rajshahi,2017,32.11,31.756265161037444,32.23101905124515
2018-11-01,Rajshahi,2017,30.01,29.487222514152528,29.70610639161466
2018-12-01,Rajshahi,2017,25.26,26.572729449272156,25.57644824832869
2019-01-01,Rajshahi,2017,25.46,25.118720607757567,24.01156164508653
2019-02-01,Rajshahi,2017,27.62,27.87567571043968,28.35578375094689
2019-03-01,Rajshahi,2017,32.08,32.783328289985654,33.342858208488224
2019-04-01,Rajshahi,2017,34.53,35.95612365484237,36.221840618053804
2019-05-01,Rajshahi,2017,36.14,35.99649994134903,35.625943936180775
2019-06-01,Rajshahi,2017,35.81,34.469948918819426,34.84991939494846
2019-07-01,Rajshahi,2017,34.5,33.4511750459671,33.316384298666335
2019-08-01,Rajshahi,2017,34.52,33.07930205106735,33.62804010447305
2019-09-01,Rajshahi,2017,33.45,32.58223762989044,33.58654899498599
2019-10-01,Rajshahi,2017,31.39,31.335906732082364,32.24509248289162
2019-11-01,Rajshahi,2017,29.99,29.0583957862854,29.70838483984627
2019-12-01,Rajshahi,2017,24.42,26.311051446199418,25.575289354422722
2020-01-01,Rajshahi,2017,23.33,25.393373886346815,24.029193059928325
2020-02-01,Rajshahi,2017,26.72,28.646565870046615,28.37100559266228
2020-03-01,Rajshahi,2017,31.61,33.41364532709122,33.356091792771174
2020-04-01,Rajshahi,2017,34.53,36.05493184328079,36.23391187214579
2020-05-01,Rajshahi,2017,33.8,35.68477787256241,35.638562251069224
2020-06-01,Rajshahi,2017,34.73,34.153497135639185,34.86332280472038
2020-07-01,Rajshahi,2017,33.87,33.31564069986343,33.33058950746819
2020-08-01,Rajshahi,2017,34.48,32.98110559225082,33.642682405107195
2020-09-01,Rajshahi,2017,34.09,32.384174711704254,33.602040423065034
2020-10-01,Rajshahi,2017,33.63,30.971612150669095,32.26088133757841
2020-11-01,Rajshahi,2017,30.23,28.585274078845977,29.724401056526496
2020-12-01,Rajshahi,2017,25.17,25.995049934387207,25.591812263545474
2021-01-01,Rajshahi,2020,23.77,23.077781972289085,23.72624687928839
2021-02-01,Rajshahi,2020,29.09,25.27811374127865,28.053171059879315
2021-03-01,Rajshahi,2020,34.56,30.989369361400605,33.02128447306841
2021-04-01,Rajshahi,2020,37.5,35.165011248588556,35.62798714244192
2021-05-01,Rajshahi,2020,34.65,36.16348401069641,35.26207670050738
2021-06-01,Rajshahi,2020,34.13,35.28673052310943,35.03350381571759
2021-07-01,Rajshahi,2020,34.16,34.05718488931656,33.555739982906765
2021-08-01,Rajshahi,2020,34.17,33.48128727674484,33.89644458323539
2021-09-01,Rajshahi,2020,34.15,33.3857690000534,33.67124553263274
2021-10-01,Rajshahi,2020,33.2,32.964464201927186,32.24790965909629
2021-11-01,Rajshahi,2020,29.43,30.874548563957212,29.726326535982935
2021-12-01,Rajshahi,2020,26.34,26.625976036787034,25.2636200994039
2022-01-01,Rajshahi,2020,23.41,23.500019018650057,23.82919066611678
2022-02-01,Rajshahi,2020,26.01,24.818891564607622,28.05572282319086
2022-03-01,Rajshahi,2020,34.83,30.43439950942993,32.9781937731762
2022-04-01,Rajshahi,2020,36.77,34.910153391361234,35.556558540515475
2022-05-01,Rajshahi,2020,34.76,36.24995955944061,35.175692682491416
2022-06-01,Rajshahi,2020,34.96,35.265772922039034,34.928608049919184
2022-07-01,Rajshahi,2020,36.41,33.94897801876068,33.46279261567578
2022-08-01,Rajshahi,2020,34.71,33.36277691841126,33.81922605153717
2022-09-01,Rajshahi,2020,34.07,33.28712386846542,33.61155100822319
2022-10-01,Rajshahi,2020,33.06,32.92289216518402,32.19890463003991
2022-11-01,Rajshahi,2020,30.33,31.27043354511261,29.707305953727303
2022-12-01,Rajshahi,2020,26.78,27.28559641480446,25.246340642726217
2023-01-01,Rajshahi,2020,24.24,23.850373038649558,23.808968022316833
2023-02-01,Rajshahi,2020,29.49,24.38831250846386,28.035754103244265
2023-03-01,Rajshahi,2020,32.76,29.758387122154232,32.95980776759629
2023-04-01,Rajshahi,2020,37.48,34.47615573644638,35.540887423547474
2023-05-01,Rajshahi,2020,36.27,36.1609283876419,35.163247563249314
2023-06-01,Rajshahi,2020,37.26,35.31526547193527,34.91949981625087
2023-07-01,Rajshahi,2020,35.75,33.971115384101864,33.45712283712261
2023-08-01,Rajshahi,2020,34.04,33.32557437896728,33.8164985282756
2023-09-01,Rajshahi,2020,34.33,33.23353891134262,33.61127047226035
2023-10-01,Rajshahi,2020,32.38,32.942589006423944,32.20061168886315
2023-11-01,Rajshahi,2020,30.42,31.555903460979458,29.71072385363221
2023-12-01,Rajshahi,2020,26.25,27.810580325126647,25.25087767124719
2012-01-01,Rangamati,2011,26.43,26.484140121936797,26.3456808015793
2012-02-01,Rangamati,2011,30.49,29.729952340126037,29.39483047798261
2012-03-01,Rangamati,2011,33.16,32.66000514984131,32.89434035646188
2012-04-01,Rangamati,2011,32.86,34.13111499786377,33.997182979452184
2012-05-01,Rangamati,2011,33.95,33.77389792919159,33.553925337043864
2012-06-01,Rangamati,2011,32.17,32.60880383968353,32.18528567250212
2012-07-01,Rangamati,2011,31.03,32.18233904361725,31.58981541154389
2012-08-01,Rangamati,2011,32.63,32.356809144020076,32.05544360037068
2012-09-01,Rangamati,2011,33.12,32.81278905391693,32.44352854162296
2012-10-01,Rangamati,2011,31.89,32.491300768852234,32.227257815865194
2012-11-01,Rangamati,2011,28.99,30.34958515167236,29.974781556831402
2012-12-01,Rangamati,2011,26.21,27.690556902885437,27.136267447228676
2013-01-01,Rangamati,2011,25.8,27.149226945638656,26.5718365669713
2013-02-01,Rangamati,2011,30.85,29.613322553634642,29.54427696767644
2013-03-01,Rangamati,2011,34.81,32.36255516529083,33.03124999910493
2013-04-01,Rangamati,2011,35.35,34.00238982200622,34.105142498934704
2013-05-01,Rangamati,2011,31.49,33.925076069831846,33.636671290729026
2013-06-01,Rangamati,2011,33.34,32.89443420886993,32.257415210105094
2013-07-01,Rangamati,2011,32.63,32.30616230010986,31.657600577809696
2013-08-01,Rangamati,2011,31.75,32.45894474506378,32.136583982917074
2013-09-01,Rangamati,2011,32.62,32.9451868391037,32.50367832131948
2013-10-01,Rangamati,2011,31.36,32.841728544235224,32.286901891477875
2013-11-01,Rangamati,2011,29.95,31.155518622398375,30.035981503646934
2013-12-01,Rangamati,2011,26.76,28.824864983558655,27.192383073149614
2014-01-01,Rangamati,2011,26.98,28.030502347946165,26.61831497264177
2014-02-01,Rangamati,2011,28.94,29.66061925411224,29.591507428118366
2014-03-01,Rangamati,2011,33.75,31.985464129447934,33.079227633831756
2014-04-01,Rangamati,2011,37.32,33.60435674190521,34.15274843614695
2014-05-01,Rangamati,2011,34.52,33.846153635978695,33.68385075571545
2014-06-01,Rangamati,2011,32.46,33.09826329708099,32.30429965607833
2014-07-01,Rangamati,2011,33.22,32.46835899829864,31.70409242908095
2014-08-01,Rangamati,2011,31.89,32.44933934688568,32.18255903409048
2014-09-01,Rangamati,2011,32.27,32.886655631065366,32.54863459767273
2014-10-01,Rangamati,2011,32.51,33.055500817298885,32.33141028331708
2014-11-01,Rangamati,2011,30.49,32.00297796726227,30.079991995453096
2014-12-01,Rangamati,2011,27.49,30.09965365409851,27.23582350076994
2015-01-01,Rangamati,2014,26.16,26.874243783950806,26.905001866815606
2015-02-01,Rangamati,2014,29.3,29.778486957550047,29.97228119074728
2015-03-01,Rangamati,2014,33.7,33.21508270263672,33.4757667141616
2015-04-01,Rangamati,2014,32.24,34.62052574157715,34.54761086751568
2015-05-01,Rangamati,2014,33.59,33.60819278717041,33.766015230962736
2015-06-01,Rangamati,2014,32.23,32.33286027908325,32.527703281261985
2015-07-01,Rangamati,2014,30.53,32.12035060882568,31.980331411159565
2015-08-01,Rangamati,2014,31.46,32.174578514099125,32.32404313910089
2015-09-01,Rangamati,2014,32.41,32.543241310119626,32.71347854432009
2015-10-01,Rangamati,2014,31.58,32.322805156707766,32.403953631174005
2015-11-01,Rangamati,2014,29.61,29.81360520362854,30.176798396471675
2015-12-01,Rangamati,2014,25.37,27.34109788417816,27.308211047274437
2016-01-01,Rangamati,2014,25.35,26.739544987678528,26.721982385755414
2016-02-01,Rangamati,2014,29.77,30.190275030136107,29.84387634610019
2016-03-01,Rangamati,2014,32.85,33.45272392272949,33.354685943310805
2016-04-01,Rangamati,2014,33.71,34.466447296142576,34.4645108203637
2016-05-01,Rangamati,2014,33.57,33.296901588439944,33.760469912825116
2016-06-01,Rangamati,2014,32.66,32.13736095428467,32.51808903332602
2016-07-01,Rangamati,2014,31.5,31.887962951660157,31.957715435759944
2016-08-01,Rangamati,2014,32.13,32.193420333862306,32.32980185514815
2016-09-01,Rangamati,2014,32.74,32.566228580474856,32.69765799108155
2016-10-01,Rangamati,2014,32.37,32.06090198516846,32.3814030847587
2016-11-01,Rangamati,2014,29.07,29.296705598831178,30.164850421964896
2016-12-01,Rangamati,2014,28.21,26.977723450660704,27.306819044678306
2017-01-01,Rangamati,2014,27.83,26.724308052062987,26.724113257959566
2017-02-01,Rangamati,2014,30.6,30.557535676956178,29.849483719455684
2017-03-01,Rangamati,2014,30.64,33.669865455627445,33.36314099619975
2017-04-01,Rangamati,2014,31.92,34.40327785491944,34.47603219683772
2017-05-01,Rangamati,2014,34.0,33.06749965667724,33.77436181192907
2017-06-01,Rangamati,2014,31.66,31.975288772583006,32.53279321775149
2017-07-01,Rangamati,2014,31.4,31.803264694213865,31.973652256355773
2017-08-01,Rangamati,2014,32.68,32.19053157806397,32.347417604236306
2017-09-01,Rangamati,2014,32.48,32.53089488983154,32.71635005380951
2017-10-01,Rangamati,2014,31.59,31.72861843109131,32.401730057044325
2017-11-01,Rangamati,2014,30.31,28.83813477516174,30.186903381842086
2017-12-01,Rangamati,2014,27.58,26.60934823989868,27.330270152970915
2018-01-01,Rangamati,2017,24.97,27.69183596611023,26.658072378000583
2018-02-01,Rangamati,2017,29.58,30.323151931762695,29.659138165294703
2018-03-01,Rangamati,2017,33.11,32.35250444412232,33.0987524587399
2018-04-01,Rangamati,2017,33.7,33.26476007461548,34.19761299981075
2018-05-01,Rangamati,2017,32.17,33.06128030776978,33.78044203552559
2018-06-01,Rangamati,2017,31.79,31.966310482025147,32.38050873240874
2018-07-01,Rangamati,2017,31.91,31.633624973297117,31.76936819721912
2018-08-01,Rangamati,2017,32.96,32.07131917953491,32.230042498050295
2018-09-01,Rangamati,2017,33.2,32.33124464035034,32.60124704921729
2018-10-01,Rangamati,2017,30.23,31.814494400024415,32.32891737262944
2018-11-01,Rangamati,2017,29.43,30.019796600341795,30.099680351954152
2018-12-01,Rangamati,2017,26.45,27.75115203857422,27.241794218745028
2019-01-01,Rangamati,2017,27.25,27.72180583000183,26.688904078169173
2019-02-01,Rangamati,2017,29.09,30.52763228416443,29.719022131279587
2019-03-01,Rangamati,2017,32.0,32.87580795288086,33.16810704642084
2019-04-01,Rangamati,2017,34.72,33.56569898605347,34.1939466154883
2019-05-01,Rangamati,2017,34.64,32.95404521942139,33.74694266175947
2019-06-01,Rangamati,2017,33.58,32.02759605407715,32.385834210311764
2019-07-01,Rangamati,2017,31.35,31.736484699249267,31.767350370815887
2019-08-01,Rangamati,2017,32.98,32.046329956054684,32.23183504174851
2019-09-01,Rangamati,2017,33.12,32.325306034088136,32.62290076760984
2019-10-01,Rangamati,2017,32.36,31.81640172958374,32.34684401480392
2019-11-01,Rangamati,2017,30.46,29.851621980667115,30.102682753374378
2019-12-01,Rangamati,2017,26.1,27.736985874176025,27.25995737278986
2020-01-01,Rangamati,2017,25.25,27.856098566055298,26.717007187112912
